n,rep,auc,n_pos,n_neg
12,0,,9,3
12,1,,9,3
12,2,,9,3
12,3,,9,3
12,4,,9,3
12,5,,9,3
12,6,,9,3
12,7,,9,3
18,0,,13,5
18,1,,13,5
18,2,,13,5
18,3,,13,5
18,4,,13,5
18,5,,13,5
18,6,,13,5
18,7,,13,5
24,0,0.513888888888889,17,7
24,1,0.4305555555555555,17,7
24,2,0.8055555555555555,17,7
24,3,0.6388888888888888,17,7
24,4,0.7222222222222223,17,7
24,5,0.7222222222222223,17,7
24,6,0.6388888888888888,17,7
24,7,0.9027777777777777,17,7
30,0,0.7222222222222222,22,8
30,1,0.8055555555555555,22,8
30,2,0.8333333333333334,22,8
30,3,0.736111111111111,22,8
30,4,0.8472222222222222,22,8
30,5,0.7222222222222222,22,8
30,6,0.638888888888889,22,8
30,7,0.7083333333333334,22,8
36,0,0.8208333333333333,26,10
