k,type,rep,auc_mean,auc_std,n_mets_remaining
0,remove_top,0,0.8375,0.14123709380565244,1019
10,remove_top,0,0.8583333333333334,0.15388487760516156,1009
10,remove_random,0,0.8375,0.14123709380565244,1009
10,remove_random,1,0.7291666666666666,0.34169207222618175,1009
10,remove_random,2,0.7875,0.1512103942635338,1009
10,remove_random,3,0.7708333333333334,0.20937240877335186,1009
10,remove_random,4,0.7041666666666666,0.23735375614376855,1009
30,remove_top,0,0.8166666666666668,0.12388390622765423,989
30,remove_random,0,0.8375,0.14123709380565244,989
30,remove_random,1,0.6458333333333334,0.35660922434632686,989
30,remove_random,2,0.7875,0.1512103942635338,989
30,remove_random,3,0.7708333333333334,0.20937240877335186,989
30,remove_random,4,0.7041666666666666,0.23735375614376855,989
50,remove_top,0,0.8166666666666668,0.12388390622765423,969
50,remove_random,0,0.8375,0.14123709380565244,969
50,remove_random,1,0.7291666666666666,0.34169207222618175,969
50,remove_random,2,0.7875,0.1512103942635338,969
50,remove_random,3,0.7708333333333334,0.20937240877335186,969
50,remove_random,4,0.7041666666666666,0.23735375614376855,969
100,remove_top,0,0.8166666666666668,0.12388390622765423,919
100,remove_random,0,0.8166666666666668,0.12388390622765423,919
100,remove_random,1,0.6458333333333334,0.35660922434632686,919
100,remove_random,2,0.7875,0.1512103942635338,919
100,remove_random,3,0.7708333333333334,0.20937240877335186,919
100,remove_random,4,0.7041666666666666,0.23735375614376855,919
200,remove_top,0,0.8375,0.14123709380565244,819
200,remove_random,0,0.8166666666666668,0.12388390622765423,819
200,remove_random,1,0.7291666666666666,0.34169207222618175,819
200,remove_random,2,0.8083333333333332,0.11426091000668408,819
200,remove_random,3,0.7708333333333334,0.20937240877335186,819
200,remove_random,4,0.7041666666666666,0.23735375614376855,819
